2024-04-03 15:23:26.152 INFO  (qtp203819996-19-localhost-7) [c: s: r: x: t:localhost-7] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=json&_=1712157802443} status=0 QTime=260
2024-04-03 15:23:26.167 INFO  (qtp203819996-20-localhost-11) [c: s: r: x:cz4034 t:localhost-11] o.a.s.c.S.Request webapp=/solr path=/admin/ping params={action=status&wt=json&_=1712157802443&ts=1712157802443} status=503 QTime=3
2024-04-03 15:23:26.195 INFO  (qtp203819996-25-localhost-10) [c: s: r: x:cz4034 t:localhost-10] o.a.s.c.S.Request webapp=/solr path=/admin/system params={wt=json&_=1712157805878} status=0 QTime=240
2024-04-03 15:23:28.927 INFO  (qtp203819996-19-localhost-13) [c: s: r: x: t:localhost-13] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/cores params={indexInfo=false&wt=json&_=1712157802442} status=0 QTime=1
2024-04-03 15:23:28.930 INFO  (qtp203819996-26-localhost-12) [c: s: r: x:cz4034 t:localhost-12] o.a.s.c.S.Request webapp=/solr path=/config/params params={wt=json&_=1712157808899} status=0 QTime=5
2024-04-03 15:23:29.042 INFO  (qtp203819996-18-localhost-14) [c: s: r: x: t:localhost-14] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=json&_=1712157802443} status=0 QTime=115
2024-04-03 15:23:31.067 INFO  (qtp203819996-22-localhost-15) [c: s: r: x: t:localhost-15] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/cores params={indexInfo=false&wt=json&_=1712157802442} status=0 QTime=0
2024-04-03 15:23:31.073 INFO  (qtp203819996-23-localhost-18) [c: s: r: x:cz4034 t:localhost-18] o.a.s.c.S.Request webapp=/solr path=/config/params params={wt=json&_=1712157808899} status=0 QTime=0
2024-04-03 15:23:31.128 INFO  (qtp203819996-20-localhost-17) [c: s: r: x:cz4034 t:localhost-17] o.a.s.c.S.Request webapp=/solr path=/select params={q=*:*&indent=true&q.op=OR&useParams=&_=1712157808899} hits=10205 status=0 QTime=58
2024-04-03 15:23:31.196 INFO  (qtp203819996-25-localhost-16) [c: s: r: x: t:localhost-16] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=json&_=1712157802443} status=0 QTime=127
2024-04-03 15:24:02.308 INFO  (qtp203819996-19-localhost-19) [c: s: r: x: t:localhost-19] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/cores params={indexInfo=false&wt=json&_=1712157802442} status=0 QTime=0
2024-04-03 15:24:02.311 INFO  (qtp203819996-26-localhost-22) [c: s: r: x:cz4034 t:localhost-22] o.a.s.c.S.Request webapp=/solr path=/config/params params={wt=json&_=1712157808899} status=0 QTime=0
2024-04-03 15:24:02.430 INFO  (qtp203819996-44-localhost-20) [c: s: r: x: t:localhost-20] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=json&_=1712157802443} status=0 QTime=120
2024-04-03 15:24:02.454 INFO  (qtp203819996-18-localhost-21) [c: s: r: x:cz4034 t:localhost-21] o.a.s.c.S.Request webapp=/solr path=/select params={q=title:+recesion+nxt+yer+forcast&indent=true&q.op=OR&useParams=&_=1712157808899} hits=0 status=0 QTime=144
2024-04-03 15:24:21.382 INFO  (qtp203819996-20-localhost-24) [c: s: r: x: t:localhost-24] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/cores params={indexInfo=false&wt=json&_=1712157802442} status=0 QTime=0
2024-04-03 15:24:21.384 INFO  (qtp203819996-25-localhost-26) [c: s: r: x:cz4034 t:localhost-26] o.a.s.c.S.Request webapp=/solr path=/config/params params={wt=json&_=1712157808899} status=0 QTime=0
2024-04-03 15:24:21.395 INFO  (qtp203819996-45-localhost-23) [c: s: r: x:cz4034 t:localhost-23] o.a.s.c.S.Request webapp=/solr path=/select params={q=recession+next+year+forecast&df=title&indent=true&q.op=OR&useParams=&_=1712157808899} hits=303 status=0 QTime=14
2024-04-03 15:24:21.486 INFO  (qtp203819996-22-localhost-25) [c: s: r: x: t:localhost-25] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=json&_=1712157802443} status=0 QTime=103
